ticker	d	scan_n	reasons	max_score
STDN	2026-08-10	1	filter:session_rvol_too_low: session_rvol=1.00x (today 198,985 / baseline 199,771 n=13) < 1.0x	""
TH	2026-08-10	12	already scored earlier today ;; filter:pm_rvol_too_low: pm_rvol=0.69x (today 1,713 / baseline 2,466 n=12) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.79x (today 1,713 / baseline 2,178 n=12) < 1.0x ;; <none>	50.4
TNXP	2026-08-10	0	""	""
VREX	2026-08-10	35	M&A/buyout catalyst — no momentum trade	""
ACVA	2026-08-11	26	score 28 < 50 (catalyst=routine) ;; score 34 < 50 (catalyst=routine)	33.6
ALMR	2026-08-11	0	""	""
ELOX	2026-08-11	2	quality filter: filter:adv_too_low: $656,860	""
HPK	2026-08-11	0	""	""
QMLS	2026-08-11	0	""	""
RNW	2026-08-11	8	M&A/buyout catalyst — no momentum trade	""
RPD	2026-08-11	3	already scored earlier today ;; filter:session_rvol_too_low: session_rvol=0.25x (today 30,158 / baseline 122,288 n=21) < 1.0x ;; <none>	84
VATE	2026-08-11	2	quality filter: filter:adv_too_low: $723,095	""
WSHP	2026-08-11	0	""	""
ANTX	2026-08-12	2	quality filter: filter:adv_too_low: $795,234	""
ATRO	2026-08-12	25	already scored earlier today ;; filter:session_rvol_too_low: session_rvol=0.59x (today 10,259 / baseline 17,362 n=21) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.66x (today 14,797 / baseline 22,549 n=21) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.84x (today 10,259 / baseline 12,139 n=21) < 1.0x ;; <none> ;; pre-mkt volume 1,097 < 25,000 shares ;; pre-mkt volume 1,479 < 25,000 shares ;; pre-mkt volume 2,525 < 25,000 shares	72
BUUU	2026-08-12	0	""	""
CEPL	2026-08-12	0	""	""
DBGI	2026-08-12	6	quality filter: filter:atr_too_high: 33.2% > 15.0%	""
DFTX	2026-08-12	23	EP cooldown — alerted within last 60 days	""
KRNT	2026-08-12	5	score 42 < 50 (catalyst=strong)	42
PRPL	2026-08-12	0	""	""
